,Latitude,Longitude,Easting,Northing
177,22.33665,114.13955,832423,821955
178,22.39183,113.97804,815793,828078
179,22.3393,114.15251,833758,822248
180,22.30606,114.18854,837470,818567
181,22.31558,114.17094,835657,819621
182,22.36555,114.13669,832129,825155
183,22.40634,113.96271,814216,829687
184,22.28536,114.19175,837801,816275
185,22.40497,114.22333,841051,829520
186,22.2772,114.16442,834985,815371
187,22.28454,114.21196,839884,816185
188,22.29194,113.94881,812766,817021
189,22.39337,113.97583,815565,828249
190,22.28126,114.22111,840827,815822
191,22.28185,114.15309,833816,815886
192,22.31877,114.26482,845329,819977
193,22.3191,114.17147,835711,820011
194,22.3692,114.11687,830088,825560
195,22.3282,114.18885,837502,821019
196,22.31578,114.17057,835619,819643
197,22.2783,114.18316,836916,815493
198,22.29958,114.17455,836028,817849
199,22.2777,114.1822,836817,815426
200,22.28077,114.18278,836877,815766
201,22.29795,114.17465,836039,817669
202,22.27911,114.18164,836759,815583
203,22.31781,114.16991,835551,819868
204,22.28276,114.15394,833905,815987
205,22.27969,114.18385,836987,815647
206,22.32179,114.16107,834640,820309
207,22.27555,114.17029,835590,815189
208,22.28076,114.15602,834119,815766
209,22.3027,114.17463,836036,818195
210,22.31883,114.16849,835404,819980
211,22.37315,114.11631,830031,825997
212,22.37,114.11431,829824,825648
213,22.37,114.11431,829824,825648
214,22.32319,114.2582,844647,820466
215,22.44732,114.02769,820912,834217
216,22.3407,114.20197,838853,822403
217,22.30141,114.17495,836070,818052
218,22.30196,114.17564,836141,818113
219,22.3054,114.25955,844787,818496
220,22.37582,114.17709,836290,826292
221,22.30733,114.16651,835201,818707
222,22.296,114.16867,835423,817452
223,22.30226,114.26307,845150,818148
224,22.37497,114.10884,829261,826199
225,22.27868,114.18594,837202,815535
226,22.29964,114.17389,835960,817856
227,22.44404,114.0357,821736,833853
228,22.38198,114.18846,837461,826974
229,22.31629,114.17026,835586,819699
230,22.37263,114.10941,829320,825940
231,22.31109,114.22274,840994,819125
232,22.29418,114.1753,836106,817251
233,22.3888,113.97936,815928,827742
234,22.28333,114.22125,840841,816051
235,22.37095,114.12033,830444,825753
236,22.49961,114.14075,832551,840001
237,22.3579,114.12668,831098,824309
238,22.28136,114.18388,836990,815831
239,22.2799,114.18041,836633,815670
240,22.29001,113.94098,811959,816808
241,22.31566,114.17114,835677,819630
242,22.31598,114.26595,845446,819668
243,22.31182,114.18888,837505,819204
244,22.31877,114.26482,845329,819977
245,22.28295,114.15267,833774,816008
246,22.45262,114.16947,835506,834797
247,22.27499,114.1722,835787,815126
248,22.29067,114.20318,838979,816863
249,22.28486,114.1441,832890,816220
250,22.30804,114.17183,835748,818786
251,22.27788,114.18638,837247,815447
252,22.32011,114.16959,835518,820123
253,22.33613,114.14755,833247,821897
254,22.30169,114.17573,836151,818083
255,22.46244,113.99786,817843,835895
256,22.36867,114.13304,831754,825500
257,22.36902,114.12233,830650,825540
258,22.32272,114.18833,837449,820412
259,22.32758,114.16303,834841,820950
260,22.45216,114.16409,834952,834746
261,22.32015,114.16179,834713,820127
262,22.45387,114.16481,835026,834934
263,22.265,114.2353,842290,814021
264,22.28584,113.9427,812135,816346
265,22.28636,114.2187,840578,816386
266,22.26268,114.24875,843676,813765
267,22.28814,114.21141,839827,816583
268,22.3581,114.12762,831195,824330
