 ,Instrument Date,District,Property,Floor,Unit,Area,Price,Price/sq.ft.,Source,
 ,27/12/2018,Tsim Sha Tsui West,"No. 0030, Silvercord Tower 2, Canton Road, Tsim Sha Tsui West, Kowloon",10,11,"Approx. 2,584 sq.ft.","For Rent $121,448",@$47,Market,Latest Stock
 ,27/12/2018,Kwun Tong,"No. 0027, Sunbeam Centre, Shing Yip Street, Kwun Tong, Kowloon",M,2,"Approx. 2,873 sq.ft.","For Rent $43,095",@$15,Market,Latest Stock
 ,27/12/2018,Cheung Sha Wan,"No. 0041, Wui Wah Factory Building, Wing Hong Street, Cheung Sha Wan, Kowloon",3,C(25),Approx. 194 sq.ft.,"For Rent $4,200",@$22,Market,Latest Stock
 ,27/12/2018,Cheung Sha Wan,"No. 0041, Wui Wah Factory Building, Wing Hong Street, Cheung Sha Wan, Kowloon",3,C(28),Approx. 219 sq.ft.,"For Rent $4,599",@$21,Market,Latest Stock
 ,27/12/2018,Kwun Tong,"No. 0011, Wah Shing Centre (KT), Shing Yip Street, Kwun Tong, Kowloon",13,13(D),Approx. 306 sq.ft.,"For Rent $9,300",@$30,Market,Latest Stock
 ,27/12/2018,Jordan,"Shop E1 on G/F, , Kam Chung Building (JD), No.0130-0142 Woosung Street, Jordan, Kowloon",-,-,Approx. 900 sq.ft.,"For Rent $50,000",@$56,Market,Latest Stock
 ,27/12/2018,Tsim Sha Tsui,"Shop 076 on G/F, , Chungking Mansions, No.0036-0044 Nathan Road, Tsim Sha Tsui, Kowloon",-,-,Approx. 300 sq.ft.,"For Rent $28,000",@$93,Market,Latest Stock
 ,27/12/2018,Central,"No. 0134, BOC Group Life Assurance Tower, Des Voeux Road Central, Central, Hong Kong",12,WF,"Approx. 3,235 sq.ft.","For Rent $436,725",@$135,Market,Latest Stock
 ,27/12/2018,Tsim Sha Tsui Central,"No. 0005, Podium Plaza, Hanoi Road, Tsim Sha Tsui Central, Kowloon",17,2,Approx. 581 sq.ft.,"For Rent $22,078",@$38,Market,Latest Stock
 ,27/12/2018,Quarry Bay,"No. 0001, Chinachem Exchange Square, Hoi Wan Street, Quarry Bay, Hong Kong",4,3,"Approx. 1,397 sq.ft.","For Rent $37,719",@$27,Land Registry,Latest Stock
