 ,Instrument Date,District,Property,Floor,Unit,Area,Price,Price/sq.ft.,Source,
 ,02/09/2019,Fo Tan,"No. 0057-0059, Leader Industrial Centre, Au Pui Wan Street, Fo Tan, New Territories",8,3,Approx. 821 sq.ft.,"For Rent $10,800",@$13,Market,Latest Stock
 ,01/09/2019,San Po Kong,"Shop D (25) & E (27) on G/F, , No.0019-0033 Hong Keung Street, San Po Kong, Kowloon",-,-,"Approx. 1,700 sq.ft.","For Rent $122,000",@$72,Land Registry,Latest Stock
 ,01/09/2019,Quarry Bay,"No. 0001, Chinachem Exchange Square, Hoi Wan Street, Quarry Bay, Hong Kong",18,01A,"Approx. 1,286 sq.ft.","For Rent $35,000",@$27,Market,Latest Stock
 ,01/09/2019,Fo Tan,"No. 0001-0003, Yue Cheung Centre, Wong Chuk Yeung Street, Fo Tan, New Territories",3,C,"Approx. 2,636 sq.ft.","For Rent $28,996",@$11,Market,Latest Stock
 ,01/09/2019,Shatin,"Unit 185 on 1/F, Kings Wing Plaza I, No.0003 On Kwan Street, Shatin, New Territories",-,-,Approx. 664 sq.ft.,"For Rent $46,800",@$70,Market,Latest Stock
 ,01/09/2019,Cheung Sha Wan,"No. 55, Kimberland Centre, Wing Hong Street, Cheung Sha Wan, Kowloon",11,10,Approx. 855 sq.ft.,"For Rent $17,100",@$20,Market,Latest Stock
 ,31/08/2019,Mong Kok,"No. 50-52, Full View Factory Building, Tong Mi Road, Mong Kok, Kowloon",3,W/F,"Approx. 4,600 sq.ft.","For Rent $80,000",@$17,Market,Latest Stock
 ,31/08/2019,Yuen Long,"Shop 063 on G/F, , Yee Fung Garden, No.0038 Ma Tin Road, Yuen Long, New Territories",-,-,Approx. 300 sq.ft.,"For Rent $18,500",@$62,Market,Latest Stock
 ,31/08/2019,Wan Chai,"No. 0212, Loyong Court Commercial Building, Lockhart Road, Wan Chai, Hong Kong",22,B,"Approx. 1,520 sq.ft.","For Rent $48,640",@$32,Market,Latest Stock
 ,31/08/2019,Tsuen Wan,"No. 0018, Fullytech Centre, Tak Hoi Street, Tsuen Wan, New Territories",10,E,Approx. 395 sq.ft.,"For Rent $11,060",@$28,Market,Latest Stock
 ,31/08/2019,Cheung Sha Wan,"No. 79, The Globe, Wing Hong Street, Cheung Sha Wan, Kowloon",16,E,"Approx. 1,425 sq.ft.","For Rent $33,200",@$23,Market,Latest Stock
 ,31/08/2019,Admiralty,"No. 0089, Lippo Centre, Tower 1, Queensway, Admiralty, Hong Kong",22,8,"Approx. 1,991 sq.ft.","For Rent $129,415",@$65,Market,Latest Stock
 ,26/08/2019,Wan Chai,"No. 0056, Bank Of East Asia Harbour View Centre, Gloucester Road, Wan Chai, Hong Kong",16,1,"Approx. 3,958 sq.ft.","For Rent $220,000",@$56,Land Registry,Latest Stock
 ,26/08/2019,Tsing Yi,"No. 14-20, Vigor Industrial Building A, Cheung Tat Road, Tsing Yi, New Territories",2,8,"Approx. 1,397 sq.ft.","For Rent $19,000",@$14,Market,Latest Stock
 ,26/08/2019,Wong Chuk Hang,"No. 0049-0051, Derrick Industrial Building, Wong Chuk Hang Road, Wong Chuk Hang, Hong Kong",5,A,"Approx. 1,868 sq.ft.","For Rent $48,000",@$26,Land Registry,Latest Stock
 ,26/08/2019,Yau Ma Tei,"Shop F on G/F, , Hip Kwan Commercial Building, No.0034-0038 Pitt Street, Yau Ma Tei, Kowloon",-,-,Approx. 207 sq.ft.,"For Rent $38,000",@$184,Market,Latest Stock
 ,26/08/2019,Sheung Wan,"Shop G02 on G/F, , Hollywood Centre, No.0233 Hollywood Road, Sheung Wan, Hong Kong",-,-,Approx. 548 sq.ft.,"For Rent $58,000",@$106,Market,Latest Stock
 ,26/08/2019,Kwun Tong,"Shop 08 & 21B on G/F, , Cambridge Building, No.0025-0041 Hong Ning Road, Kwun Tong, Kowloon",-,-,Approx. 800 sq.ft.,"For Rent $143,748",@$180,Land Registry,Latest Stock
 ,26/08/2019,Kwai Fong,"No. 0223, Metroplaza II, Hing Fong Road, Kwai Fong, New Territories",11,07-08,"Approx. 3,108 sq.ft.","For Rent $93,240",@$30,Market,Latest Stock
