 ,Instrument Date,District,Property,Floor,Unit,Area,Price,Price/sq.ft.,Source,
 ,20/11/2018,Kwun Tong,"No. 0062, Camelpaint Building Block 1, Hoi Yuen Road, Kwun Tong, Kowloon",5,B13,Approx. 90 sq.ft.,"For Rent $3,900",@$43,Market,Latest Stock
 ,20/11/2018,Kwai Chung,"No. 0093, Viking Technology and Business Centre B, Ta Chuen Ping Street, Kwai Chung, New Territories",6,3,Approx. 650 sq.ft.,"For Rent $7,800",@$12,Market,Latest Stock
 ,20/11/2018,Tsuen Wan,"No. 188, Dynamic Cargo Centre, Yeung Uk Road, Tsuen Wan, New Territories",21,B,"Approx. 16,471 sq.ft.","For Rent $197,652",@$12,Land Registry,Latest Stock
 ,20/11/2018,Tsuen Wan,"No. 1, Grand City Plaza, Sai Lau Kok Road, Tsuen Wan, New Territories",17,1,Approx. 729 sq.ft.,"For Rent $14,058",@$19,Land Registry,Latest Stock
 ,20/11/2018,Sha Tin,"No. 0138, Grand Central Plaza II, Sha Tin Rural Committee Road, Sha Tin, New Territories",19,02-03,"Approx. 1,586 sq.ft.","For Rent $54,700",@$34,Land Registry,Latest Stock
 ,20/11/2018,Mong Kok,"Shop 1,2 on G/F, , No.0724-0726 Nathan Road, Mong Kok, Kowloon",-,-,"Approx. 2,994 sq.ft.","For Rent $320,000",@$107,Land Registry,Latest Stock
 ,20/11/2018,Mong Kok,"Shop  on G/F, , No.0148 Tung Choi Street, Mong Kok, Kowloon",-,-,"Approx. 1,000 sq.ft.","For Rent $160,000",@$160,Market,Latest Stock
 ,20/11/2018,Wan Chai,"Shop 2A, 2B on G/F, , No.0077-0079 Gloucester Road, Wan Chai, Hong Kong",-,-,"Approx. 3,600 sq.ft.","For Rent $18,500",@$5,Land Registry,Latest Stock
 ,20/11/2018,Tsim Sha Tsui Central,"No. 0002-0012, 8 Observatory Road, Observatory Road, Tsim Sha Tsui Central, Kowloon",8,WF,"Approx. 9,565 sq.ft.","For Rent $459,120",@$48,Market,Latest Stock
 ,20/11/2018,Tsim Sha Tsui Central,"No. 0002A, Supreme House, Hart Avenue, Tsim Sha Tsui Central, Kowloon",6,1,Approx. 318 sq.ft.,"For Rent $13,800",@$43,Market,Latest Stock
 ,20/11/2018,Cheung Sha Wan,"No. 0079, The Globe, Wing Hong Street, Cheung Sha Wan, Kowloon",8,A-C,"Approx. 3,581 sq.ft.","For Rent $89,525",@$25,Market,Latest Stock
 ,20/11/2018,Kwun Tong,"No. 0071, The Rays, Hung To Road, Kwun Tong, Kowloon",6,WF,"Approx. 7,285 sq.ft.","For Rent $138,415",@$19,Market,Latest Stock
 ,20/11/2018,Mong Kok,"No. 0982, Prosperity Center (MK), Canton Road, Mong Kok, Kowloon",9,3,Approx. 532 sq.ft.,"For Rent $13,300",@$25,Market,Latest Stock
 ,20/11/2018,Tsuen Wan,"No. 48-56, Wang Lung Industrial Building, Wang Lung Street, Tsuen Wan, New Territories",12,03A08,Approx. 250 sq.ft.,"For Rent $3,800",@$15,Market,Latest Stock
 ,20/11/2018,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",3,F(06),Approx. 110 sq.ft.,"For Rent $5,000",@$45,Market,Latest Stock
 ,20/11/2018,Sheung Shui,"No. 0039, Landmark North, Lung Sum Avenue, Sheung Shui, New Territories",7,23,"Approx. 1,040 sq.ft.","For Rent $26,000",@$25,Land Registry,Latest Stock
 ,20/11/2018,Kwun Tong,"Shop D (25) on G/F, , No.0017-0033 Ka Lok Street, Kwun Tong, Kowloon",-,-,"Approx. 1,000 sq.ft.","For Rent $28,000",@$28,Market,Latest Stock
 ,20/11/2018,Tsuen Wan,"No. 0001, Grand City Plaza, Sai Lau Kok Road, Tsuen Wan, New Territories",12,7,Approx. 608 sq.ft.,"For Rent $12,282",@$20,Land Registry,Latest Stock
