 ,Instrument Date,District,Property,Floor,Unit,Area,Price,Price/sq.ft.,Source,
 ,30/04/2019,Central,"No. 0100, 100 Queen's Road Central, Queen's Road Central, Central, Hong Kong",1,WF,"Approx. 8,215 sq.ft.","For Rent $739,350",@$90,Market,Latest Stock
 ,30/04/2019,Sheung Wan,"No. 0156, General Commercial Building, Des Voeux Road Central, Sheung Wan, Hong Kong",10,4,Approx. 740 sq.ft.,"For Rent $23,000",@$31,Market,Latest Stock
 ,30/04/2019,Tsuen Wan,"No. 0001, Grand City Plaza, Sai Lau Kok Road, Tsuen Wan, New Territories",7,6,Approx. 611 sq.ft.,"For Rent $13,809",@$23,Land Registry,Latest Stock
 ,30/04/2019,Kwun Tong,"No. 0020, East Sun Industrial Building, Shing Yip Street, Kwun Tong, Kowloon",6,B(01),Approx. 200 sq.ft.,"For Rent $4,300",@$22,Market,Latest Stock
 ,30/04/2019,Tsuen Wan,"No. 1, Grand City Plaza, Sai Lau Kok Road, Tsuen Wan, New Territories",12,6,Approx. 611 sq.ft.,"For Rent $12,220",@$20,Land Registry,Latest Stock
 ,30/04/2019,Tsuen Wan,"No. 1, Grand City Plaza, Sai Lau Kok Road, Tsuen Wan, New Territories",12,6,Approx. 611 sq.ft.,"For Rent $12,220",@$20,Land Registry,Latest Stock
 ,30/04/2019,Fo Tan,"No. 0057-0059, Leader Industrial Centre, Au Pui Wan Street, Fo Tan, New Territories",12,10,Approx. 779 sq.ft.,"For Rent $11,200",@$14,Market,Latest Stock
 ,30/04/2019,Tsuen Wan,"No. 1, Grand City Plaza, Sai Lau Kok Road, Tsuen Wan, New Territories",12,6,Approx. 611 sq.ft.,"For Rent $12,220",@$20,Land Registry,Latest Stock
 ,30/04/2019,Tsuen Wan,"No. 1, Grand City Plaza, Sai Lau Kok Road, Tsuen Wan, New Territories",12,6,Approx. 611 sq.ft.,"For Rent $12,220",@$20,Land Registry,Latest Stock
 ,30/04/2019,Tuen Mun,"No. 2, Win Sun Factory Building, San Hop Lane, Tuen Mun, New Territories",11,B,"Approx. 4,380 sq.ft.","For Rent $45,000",@$10,Market,Latest Stock
 ,30/04/2019,Sham Shui Po,"Shop  on G/F, , No.0361 Castle Peak Rd, Sham Shui Po, Kowloon",-,-,"Approx. 2,200 sq.ft.","For Rent $68,000",@$31,Market,Latest Stock
 ,30/04/2019,Yuen Long,"Shop A on G/F, , No.0008 Chun Yin Square, Yuen Long, New Territories",-,-,Approx. 700 sq.ft.,"For Rent $28,000",@$40,Market,Latest Stock
 ,30/04/2019,Shatin,"Shop 208 on 2/F, Kings Wing Plaza II, No.0001 On Kwan Street, Shatin, New Territories",-,-,"Approx. 1,245 sq.ft.","For Rent $45,000",@$36,Market,Latest Stock
 ,30/04/2019,Sheung Wan,"No. 0308, Fwd Financial Centre, Des Voeux Road Central, Sheung Wan, Hong Kong",13,05-07,"Approx. 4,436 sq.ft.","For Rent $248,416",@$56,Land Registry,Latest Stock
 ,30/04/2019,Jordan,"No. 0208, Fourseas Building, Nathan Road, Jordan, Kowloon",10,4,Approx. 960 sq.ft.,"For Rent $28,800",@$30,Market,Latest Stock
 ,30/04/2019,Tsim Sha Tsui Central,"No. 0038-0040, Golden Dragon Centre, Cameron Road, Tsim Sha Tsui Central, Kowloon",12,4,Approx. 733 sq.ft.,"For Rent $23,456",@$32,Market,Latest Stock
 ,30/04/2019,North Point,"No. 0108, 108 Java Road, Java Road, North Point, Hong Kong",9,2,Approx. 738 sq.ft.,"For Rent $18,450",@$25,Market,Latest Stock
 ,30/04/2019,North Point,"No. 0108, 108 Java Road, Java Road, North Point, Hong Kong",10,1,Approx. 731 sq.ft.,"For Rent $18,275",@$25,Market,Latest Stock
 ,30/04/2019,Mong Kok,"No. 0002, Ho King Commercial Centre, Fa Yuen Street, Mong Kok, Kowloon",28,18,Approx. 161 sq.ft.,"For Rent $7,000",@$43,Market,Latest Stock
