, ,instrument date,district,property,floor,unit,area_sq.ft.,price,price/sq.ft.,source,e_n,long_lat
2975, ,18/07/2019,Jordan,"No. 0582, Kwong Fat Commercial Building, Canton Road, Jordan, Kowloon",14,4,426,14484.0,@$34,Market,"(835421, 818768)","(114.168654076, 22.307876845)"
2976, ,18/07/2019,Wan Chai,"No. 0018, Central Plaza, Harbour Road, Wan Chai, Hong Kong",20,01-03&05-06,17978,1090000.0,@$60,Land Registry,"(835929.972, 815662.443)","(114.173594382, 22.279831905)"
2977, ,18/07/2019,Kowloon Bay,"No. 8, Megacube, Wang Kwong Road, Kowloon Bay, Kowloon",2,G,379,8000.0,@$21,Market,"(839239, 820592)","(114.205711811, 22.324346289)"
2978, ,18/07/2019,Tsuen Wan,"No. 11, One Midtown, Hoi Shing Road, Tsuen Wan, New Territories",25,2,891,23000.0,@$26,Market,"(824155, 825435)","(114.059265238, 22.36804119)"
2979, ,18/07/2019,Prince Edward,"Shop C on G/F, , Everich Building, No.0002-0004 Tai Po Road, Prince Edward, Kowloon",-,-,800,85000.0,@$106,Market,"(835355, 820849)","(114.168012354, 22.326669483)"
2980, ,29/07/2019,Kwun Tong,"No. 0062, Camelpaint Building Block 1, Hoi Yuen Road, Kwun Tong, Kowloon",2,A(03),168,5300.0,@$32,Market,"(841228.8641, 819081.1207)","(114.225021362, 22.310697561)"
2981, ,29/07/2019,Kwun Tong,"No. 0062, Camelpaint Building Block 1, Hoi Yuen Road, Kwun Tong, Kowloon",2,A(19),328,8200.0,@$25,Market,"(841228.8641, 819081.1207)","(114.225021362, 22.310697561)"
2982, ,29/07/2019,Hung Hom,"No. 0018, Peninsula Square, Sung On Street, Hung Hom, Kowloon",10,2,1260,25200.0,@$20,Market,"(837602, 819162)","(114.189821386, 22.311434589)"
2983, ,29/07/2019,Shek Mun,"No. 0003, Delta House, On Yiu Street, Shek Mun, New Territories",2,15,1016,19304.0,@$19,Market,"(839609, 827899)","(114.209318443, 22.390331846)"
2984, ,29/07/2019,Kwun Tong,"No. 0062, Camelpaint Building Block 2, Hoi Yuen Road, Kwun Tong, Kowloon",12,A(07),428,13500.0,@$32,Market,"(841228.8641, 819081.1207)","(114.225021362, 22.310697561)"
2985, ,29/07/2019,Kwun Tong,"No. 7, Legend Tower, Shing Yip Street, Kwun Tong, Kowloon",28,B,2039,57092.0,@$28,Market,"(841354, 819099)","(114.226235909, 22.310858656)"
2986, ,29/07/2019,Kwai Hing,"Shop A on G/F, , Cheong Nin Building, No.1013-1033 Kwai Chung Road, Kwai Hing, New Territories",-,-,1500,100000.0,@$67,Market,"(831808, 825409)","(114.133570797, 22.367843311)"
2987, ,29/07/2019,Tuen Mun,"Shop G107 on G/F, G/F, Lee Bo Bldg, No.0003 Tsing Ho Square, Tuen Mun, New Territories",-,-,348,35000.0,@$101,Market,"(815912, 827705)","(113.979202564, 22.38846245)"
2988, ,29/07/2019,Admiralty,"Shop 94 on 1/F, Admiralty Centre, No.0018 Harcourt Road, Admiralty, Hong Kong",-,-,386,50000.0,@$130,Market,"(835109, 815579)","(114.165628357, 22.279078007)"
2989, ,29/07/2019,Tsim Sha Tsui Central,"No. 0029, Southgate Commercial Centre, Granville Road, Tsim Sha Tsui Central, Kowloon",11,B,523,18828.0,@$36,Market,"(836037.53063, 817912.15594)","(114.174637732, 22.300148241)"
2990, ,29/07/2019,Central,"No. 0010-0012, Malahon Centre, Stanley Street, Central, Hong Kong",22,WF,1359,58437.0,@$43,Market,"(834109, 815885)","(114.155924763, 22.281840423)"
2991, ,29/07/2019,Tsim Sha Tsui East,"No. 0014, New Mandarin Plaza Tower A, Science Museum Road, Tsim Sha Tsui East, Kowloon",5,1,778,27230.0,@$35,Market,"(836408, 817920)","(114.178233004, 22.300219086)"
2992, ,29/07/2019,Tsim Sha Tsui Central,"No. 0009, Koon Fook Centre, Knutsford Terrace, Tsim Sha Tsui Central, Kowloon",7,04A,487,13600.0,@$28,Market,"(835956, 818034)","(114.173846484, 22.301248555)"
2993, ,29/07/2019,Tsing Yi,"No. 0001-0033, Tsing Yi Industrial Centre Ph. 2, Blk. C, Cheung Tat Road, Tsing Yi, New Territories",5,12-14,5580,49000.0,@$9,Market,"(829400.66357, 823373.36468)","(114.110205945, 22.349452481)"
2994, ,29/07/2019,Shek Mun,"No. 0018, Technology Park, On Lai Street, Shek Mun, New Territories",11,01(D),150,7001.0,@$47,Market,"(821055, 835901)","(114.029066438, 22.462529294)"
2995, ,29/07/2019,Shek Mun,"No. 0018, Technology Park, On Lai Street, Shek Mun, New Territories",11,1,766,26000.0,@$34,Market,"(821055, 835901)","(114.029066438, 22.462529294)"
2996, ,29/07/2019,Kwun Tong,"No. 7, Legend Tower, Shing Yip Street, Kwun Tong, Kowloon",33,D,2777,80533.0,@$29,Market,"(841354, 819099)","(114.226235909, 22.310858656)"
2997, ,29/07/2019,Tai Kok Tsui,"No. 128, KHORA, Bedford Road, Tai Kok Tsui, Kowloon",19,5,295,7000.0,@$24,Market,"(834989.3, 820128.3)","(114.164463271, 22.320160905)"
2998, ,29/07/2019,Kwun Tong,"No. 0062, Camelpaint Building Block 1, Hoi Yuen Road, Kwun Tong, Kowloon",2,A(10),93,3650.0,@$39,Market,"(841228.8641, 819081.1207)","(114.225021362, 22.310697561)"
2999, ,29/07/2019,Kwun Tong,"No. 0062, Camelpaint Building Block 1, Hoi Yuen Road, Kwun Tong, Kowloon",2,A(17),323,7600.0,@$24,Market,"(841228.8641, 819081.1207)","(114.225021362, 22.310697561)"
3000, ,26/06/2019,Kwun Tong,"No. 0018, New East Sun Industrial Building, Shing Yip Street, Kwun Tong, Kowloon",7,31,325,6000.0,@$18,Market,"(841334, 818934)","(114.226041279, 22.309368666)"
3001, ,26/06/2019,Tsuen Wan,"No. 0052-0058, King Palace Plaza (TW), Sha Tsui Road, Tsuen Wan, New Territories",27,4,1233,14796.0,@$12,Market,"(829326, 826021)","(114.10946961, 22.373361761)"
3002, ,26/06/2019,Tsuen Wan,"No. 1, Grand City Plaza, Sai Lau Kok Road, Tsuen Wan, New Territories",12,11,1064,20748.0,@$20,Land Registry,"(829829.879, 826178.898)","(114.114361487, 22.374789626)"
3003, ,26/06/2019,Sheung Shui,"No. 0039, Landmark North, Lung Sum Avenue, Sheung Shui, New Territories",9,16-18,2451,73530.0,@$30,Land Registry,"(831324, 844187)","(114.128813116, 22.537415643)"
3004, ,26/06/2019,Tsim Sha Tsui,"Unit 1 on 2/F, Hon Kwok Tst Centre, No.0005-0009 Observatory Court, Tsim Sha Tsui, Kowloon",-,-,2432,55000.0,@$23,Market,"(836046.1, 818109.5)","(114.174720868, 22.30193038)"
3005, ,26/06/2019,Tuen Mun,"No. 0002, Tuen Mun Parklane Square, Tuen Hi Road, Tuen Mun, New Territories",1,26,1120,50000.0,@$45,Market,"(815719, 827959)","(113.977325129, 22.390753886)"
3006, ,26/06/2019,Kwun Tong,"No. 0378, Millennium City 2, Kwun Tong Road, Kwun Tong, Kowloon",10,13-16,1959,52893.0,@$27,Market,"(840722, 819495)","(114.220103213, 22.314436526)"
3007, ,26/06/2019,Wan Chai,"No. 0133, Times Media Centre, Wan Chai Road, Wan Chai, Hong Kong",21,B,1879,50733.0,@$27,Market,"(836186, 815302)","(114.1760787, 22.276576904)"
3008, ,26/06/2019,San Po Kong,"No. 0041-0043, 41-43 King Fuk Street, King Fuk Street, San Po Kong, Kowloon",G,41,1000,86000.0,@$86,Market,"(838200, 821494)","(114.195628046, 22.332493359)"
3009, ,26/06/2019,Fo Tan,"No. 0030-0032, Wah Yiu Industrial Centre, Au Pui Wan Street, Fo Tan, New Territories",13,11,2691,32000.0,@$12,Market,"(838005, 828852)","(114.193743227, 22.3989403)"
3010, ,26/06/2019,North Point,"No. 0183, AIA Tower, Electric Road, North Point, Hong Kong",21,09B,521,27092.0,@$52,Market,"(837874, 816609)","(114.192458695, 22.288379194)"
3011, ,26/06/2019,Cheung Sha Wan,"No. 0007, Saxon Tower, Cheung Shun Street, Cheung Sha Wan, Kowloon",11,4,930,26505.0,@$29,Market,"(833359, 821950)","(114.14863624, 22.336609939)"
3012, ,26/06/2019,Kwun Tong,"No. 0388, Millennium City 1 Tower 1, Kwun Tong Road, Kwun Tong, Kowloon",29,19,857,25282.0,@$30,Land Registry,"(840841, 819441)","(114.221258028, 22.313948561)"
3013, ,26/06/2019,San Po Kong,"Shop B55 on 1/F, San Po Kong Plaza, No.0033 Shung Ling Street, San Po Kong, Kowloon",-,-,389,7800.0,@$20,Market,"(838244, 821775)","(114.196055496, 22.335030901)"
3014, ,26/06/2019,Yuen Long,"Shop 307 on 3/F, Tung Yik Bldg, No.0008 Yu King Square, Yuen Long, New Territories",-,-,700,14500.0,@$21,Market,"(821016, 833852)","(114.028707178, 22.444025627)"
3015, ,26/06/2019,Hung Hom,"Shop G32 & 33 on G/F, , Whampoa Garden Site 3, No. Hung Hom South Road, Hung Hom, Kowloon",-,-,2211,260000.0,@$118,Market,"(837674, 818623)","(114.190519701, 22.306567035)"
3016, ,26/06/2019,Central,"No. 0072, Parker House, Queen's Road Central, Central, Hong Kong",11,2,670,45560.0,@$68,Market,"(834068, 815995)","(114.155526774, 22.282833741)"
3017, ,26/06/2019,Jordan,"No. 0221&0221A, Tung Cheong Commercial Building, Nathan Road, Jordan, Kowloon",13,WF,2088,77256.0,@$37,Market,"(835713, 818302)","(114.171488146, 22.303668699)"
3018, ,26/06/2019,Central,"No. 0020, Abdoolally House, Stanley Street, Central, Hong Kong",2,1,1000,49000.0,@$49,Market,"(834085, 815913)","(114.155691844, 22.28209325)"
3019, ,26/06/2019,Tsuen Wan,"No. 0001, Grand City Plaza, Sai Lau Kok Road, Tsuen Wan, New Territories",5,07-09,1901,44864.0,@$24,Land Registry,"(829829.879, 826178.898)","(114.114361487, 22.374789626)"
3020, ,03/05/2019,Wan Chai,"No. 0108, Everbright Centre, Gloucester Road, Wan Chai, Hong Kong",37,WF,10563,771099.0,@$73,Market,"(835949, 815581)","(114.173779031, 22.279096426)"
3021, ,03/05/2019,Wan Chai,"No. 0108, Everbright Centre, Gloucester Road, Wan Chai, Hong Kong",22,01-02&11,2545,177641.0,@$70,Land Registry,"(835949, 815581)","(114.173779031, 22.279096426)"
3022, ,03/05/2019,Kwun Tong,"No. 0001, 1 Hung To Road, Hung To Road, Kwun Tong, Kowloon",8,22,1040,18720.0,@$18,Market,"(840561, 819515)","(114.218540662, 22.314617547)"
3023, ,03/05/2019,Sheung Shui,"No. 0188, Cambridge Plaza Block A, San Wan Road, Sheung Shui, New Territories",2,21,2254,32000.0,@$14,Market,"(830615, 840816)","(114.121932863, 22.50697208)"
3024, ,03/05/2019,Fo Tan,"No. 0015-0017, Supreme Industrial Building, Shan Mei Street, Fo Tan, New Territories",5,D(01),160,3800.0,@$24,Market,"(837971, 828607)","(114.193412775, 22.39672786)"
3025, ,03/05/2019,Fo Tan,"No. 0026-0028, Fo Tan Industrial Centre, Au Pui Wan Street, Fo Tan, New Territories",1,07(27A),240,3300.0,@$14,Market,"(838057, 828821)","(114.194248189, 22.398660301)"
3026, ,03/05/2019,San Po Kong,"No. 0033, Canny Industrial Building, Tai Yau Street, San Po Kong, Kowloon",20,3,1103,18500.0,@$17,Market,"(838412, 821923)","(114.19768648, 22.336367225)"
3027, ,03/05/2019,Shek Mun,"No. 0002, Metropole Square, On Yiu Street, Shek Mun, New Territories",23,3,1155,30030.0,@$26,Market,"(839481, 827868)","(114.208075387, 22.390052144)"
3028, ,03/05/2019,Chai Wan,"No. 0009, Cheung Lee Industrial Building, Cheung Lee Street, Chai Wan, Hong Kong",12,B,3106,49600.0,@$16,Market,"(842359, 813967)","(114.23597031, 22.264510224)"
3029, ,03/05/2019,Kwun Tong,"No. 0139, Seaview Centre, Hoi Bun Road, Kwun Tong, Kowloon",6,1,1160,23500.0,@$20,Market,"(840487, 819281)","(114.217821828, 22.31250457)"
3030, ,03/05/2019,Jordan,"Shop A on G/F, , No.0041 Shanghai Street, Jordan, Kowloon",-,-,850,100000.0,@$118,Market,"(835454, 818349)","(114.168974558, 22.304093035)"
3031, ,03/05/2019,Central,"Shop  on 5/F, No.0001-0009 On Hing Terr, Central, Hong Kong",-,-,4580,220000.0,@$48,Market,"(834095.3384, 815256.2712)","(114.155793049, 22.276162583)"
3032, ,03/05/2019,Central,"No. 0008, Cosmos Building, Lan Kwai Fong, Central, Hong Kong",9,2,450,15000.0,@$33,Market,"(834073, 815753)","(114.155575622, 22.280648334)"
3033, ,03/05/2019,Wan Chai,"No. 0099, Bayfield Building, Hennessy Road, Wan Chai, Hong Kong",9,1,682,18000.0,@$26,Market,"(835761.815, 815429.7841)","(114.171962788, 22.277730805)"
3034, ,03/05/2019,Tsim Sha Tsui Central,"No. 0005, Podium Plaza, Hanoi Road, Tsim Sha Tsui Central, Kowloon",11,3,703,26714.0,@$38,Market,"(836008, 817635)","(114.174351192, 22.297645347)"
3035, ,03/05/2019,Central,"No. 0060, The Centrium, Wyndham Street, Central, Hong Kong",33,6,1167,64185.0,@$55,Market,"(834095.3384, 815256.2712)","(114.155793049, 22.276162583)"
3036, ,03/05/2019,Kwun Tong,"No. 0015-0017, Chung Mei Centre, Hing Yip Street, Kwun Tong, Kowloon",5,B06-07,2420,36300.0,@$15,Market,"(841237, 818961)","(114.225099951, 22.309612775)"
3037, ,03/05/2019,Kwun Tong,"No. 0001, 1 Hung To Road, Hung To Road, Kwun Tong, Kowloon",7,15,1210,21780.0,@$18,Market,"(840561, 819515)","(114.218540662, 22.314617547)"
3038, ,03/05/2019,Fo Tan,"No. 0026-0028, Fo Tan Industrial Centre, Au Pui Wan Street, Fo Tan, New Territories",1,07(07),380,6800.0,@$18,Market,"(838057, 828821)","(114.194248189, 22.398660301)"
3039, ,03/05/2019,Fo Tan,"No. 0015-0017, Supreme Industrial Building, Shan Mei Street, Fo Tan, New Territories",5,D(10),150,3600.0,@$24,Market,"(837971, 828607)","(114.193412775, 22.39672786)"
3040, ,24/09/2019,Tuen Mun,"No. 0007-0009, Koon Wah Mirror Fty (6th) Ind. Bldg. 2, Ho Tin Street, Tuen Mun, New Territories",11,D,2864,28640.0,@$10,Market,"(814836, 828773)","(113.96873951, 22.398093868)"
3041, ,24/09/2019,Tuen Mun,"No. 0003, Tai Hing Cotton Mill Limited, Tsing Yeung Circuit, Tuen Mun, New Territories",14,W/F,26086,386073.0,@$15,Market,"(815227, 829791)","(113.972523215, 22.407291702)"
3042, ,24/09/2019,Kwai Chung,"No. 79, Asia Trade Centre (KC), Lei Muk Road, Kwai Chung, New Territories",7,13A,553,6600.0,@$12,Market,"(832146, 825662)","(114.136851895, 22.370128881)"
3043, ,24/09/2019,Mong Kok,"Shop  on G/F, , No.0465 Shanghai Street, Mong Kok, Kowloon",-,-,1520,40000.0,@$26,Market,"(835381.17972, 819938.603180001)","(114.168266969, 22.318448075)"
3044, ,24/09/2019,Kennedy Town,"No. 0023, Kennedy Town Centre, Belcher's Street, Kennedy Town, Hong Kong",15,A,2300,50700.0,@$22,Land Registry,"(831463, 816144)","(114.130248865, 22.284174021)"
3045, ,24/09/2019,Tai Po,"No. 0057, Tai Ping Industrial Centre Block 1, Ting Kok Road, Tai Po, New Territories",G,A,14593,223273.0,@$15,Land Registry,"(835308, 835287)","(114.167547496, 22.457052015)"
3046, ,24/09/2019,Sheung Shui,"Shop  on G/F, , No.0027 San Shing Ave, Sheung Shui, New Territories",-,-,2100,60000.0,@$29,Market,"(831335.18274, 840602.40165)","(114.128932986, 22.505045439)"
3047, ,24/09/2019,Mong Kok,"Shop 04 on G/F, , No.0050 Soy Street, Mong Kok, Kowloon",-,-,650,300000.0,@$462,Market,"(835897.5, 819798.03125)","(114.173278355, 22.317178814)"
3048, ,24/09/2019,Jordan,"Shop   5-7 on G/F, , No.0230-0238 Nathan Road, Jordan, Kowloon",-,-,2755,480000.0,@$174,Market,"(835619, 819269)","(114.170575498, 22.312401263)"
3049, ,24/09/2019,Kwun Tong,"No. 0050, Lemmi Centre, Hoi Yuen Road, Kwun Tong, Kowloon",9,3,1037,20740.0,@$20,Market,"(841089, 818936)","(114.223663493, 22.309387431)"
3050, ,24/09/2019,Quarry Bay,"No. 0001, Kornhill Metro Tower, Kornhill Road, Quarry Bay, Hong Kong",10,1,1020,49980.0,@$49,Market,"(838017, 816575)","(114.193846304, 22.288072013)"
3051, ,24/09/2019,Kwun Tong,"No. 0027, Sunbeam Centre, Shing Yip Street, Kwun Tong, Kowloon",6,1,3358,36938.0,@$11,Market,"(841486, 818983)","(114.22751664, 22.309810711)"
3052, ,24/09/2019,Kwun Tong,"No. 0139/0141, Shiu Fat Industrial Building, Wai Yip Street, Kwun Tong, Kowloon",12,5,1159,18000.0,@$16,Market,"(840526, 819393)","(114.21820064, 22.313515901)"
3053, ,24/09/2019,Kwun Tong,"No. 0002, Link Chart Centre, Tai Yip Street, Kwun Tong, Kowloon",23,W/F,4263,87392.0,@$21,Land Registry,"(840127.25056, 819827.389389999)","(114.214331601, 22.317439638)"
3054, ,23/09/2019,Kwai Fong,"Shop C on G/F, & COCKLOFT, Kwai Lok Bldg, No.0073-0085 Wing Fong Road, Kwai Fong, New Territories",-,-,2738,60000.0,@$22,Market,"(831125, 824602)","(114.126941927, 22.360553756)"
3055, ,23/09/2019,Central,"No. 0044, Wyndham Place, Wyndham Street, Central, Hong Kong",12,WF,3480,120000.0,@$34,Land Registry,"(834017, 815699)","(114.155032313, 22.280160607)"
3056, ,23/09/2019,Tsuen Wan,"No. 0264-0298, Nan Fung Centre, Castle Peak Road Tsuen Wan, Tsuen Wan, New Territories",12,36-37,1039,31000.0,@$30,Market,"(830029, 826069)","(114.116295341, 22.373797924)"
3057, ,23/09/2019,Cheung Sha Wan,"No. 55, Kimberland Centre, Wing Hong Street, Cheung Sha Wan, Kowloon",29,3,834,20850.0,@$25,Market,"(833279, 822218)","(114.147859167, 22.339029996)"
3058, ,23/09/2019,Sham Shui Po,"Shop  on G/F, , No.0062-0064 Un Chau Street, Sham Shui Po, Kowloon",-,-,2400,125000.0,@$52,Land Registry,"(834988.875, 821373.375)","(114.164458155, 22.331404663)"
3059, ,23/09/2019,Happy Valley,"Shop  on G/F, , No.0017 Wong Nai Chung Road, Happy Valley, Hong Kong",-,-,2420,150000.0,@$62,Market,"(836982.03006, 814547.36709)","(114.18380225, 22.269761934)"
3060, ,28/05/2019,Central,"No. 0015, Yue Shing Commercial Building, Queen Victoria Street, Central, Hong Kong",1,5,560,22960.0,@$41,Market,"(834054, 816080)","(114.155390809, 22.283601327)"
3061, ,28/05/2019,Tsim Sha Tsui East,"No. 0067, Peninsula Centre, Mody Road, Tsim Sha Tsui East, Kowloon",1,135,530,28620.0,@$54,Market,"(836305, 817788)","(114.177233423, 22.29902705)"
3062, ,28/05/2019,San Po Kong,"No. 0033, Port 33, Tseuk Luk Street, San Po Kong, Kowloon",25,WF,13629,320282.0,@$24,Land Registry,"(838411, 821819)","(114.197676633, 22.335428046)"
3063, ,28/05/2019,Kwun Tong,"No. 0392, Millennium City Phase 6, Kwun Tong Road, Kwun Tong, Kowloon",23,01-03,8373,251190.0,@$30,Land Registry,"(841250, 819264)","(114.225227063, 22.31234901)"
3064, ,28/05/2019,Kwun Tong,"No. 0392, Millennium City Phase 6, Kwun Tong Road, Kwun Tong, Kowloon",15,2,3330,99900.0,@$30,Land Registry,"(841250, 819264)","(114.225227063, 22.31234901)"
3065, ,28/05/2019,Sheung Wan,"No. 0199, Infinitus Plaza, Des Voeux Road Central, Sheung Wan, Hong Kong",33,WF,11071,830325.0,@$75,Market,"(833884, 816410)","(114.153740726, 22.286581209)"
3066, ,28/05/2019,San Po Kong,"No. 33, Port 33, Tsuek Luk Street, San Po Kong, Kowloon",25,W/F,13636,320282.0,@$23,Land Registry,"(838411, 821819)","(114.197676633, 22.335428046)"
3067, ,28/05/2019,Tsuen Wan,"No. 1, Grand City Plaza, Sai Lau Kok Road, Tsuen Wan, New Territories",17,8,648,13608.0,@$21,Land Registry,"(829829.879, 826178.898)","(114.114361487, 22.374789626)"
3068, ,16/05/2019,Tsim Sha Tsui,"Shop C(44) on G/F, , Lyton Building, No.0032-0048 Mody Road, Tsim Sha Tsui, Kowloon",-,-,750,63000.0,@$84,Market,"(836060, 817577)","(114.174855832, 22.297121578)"
3069, ,16/05/2019,Tsim Sha Tsui Central,"No. 0003, Workingport Commercial Building, Hau Fook Street, Tsim Sha Tsui Central, Kowloon",3,2,292,7592.0,@$26,Market,"(835962, 817830)","(114.17390475, 22.29940631)"
3070, ,16/05/2019,Sheung Wan,"No. 0008, Lloyds Comm Centre, Wing Lok Street, Sheung Wan, Hong Kong",16,B,451,14000.0,@$31,Market,"(833661.1, 816371.57016)","(114.151577833, 22.286233842)"
3071, ,16/05/2019,Jordan,"No. 0013, Y Centre, Parkes Street, Jordan, Kowloon",8,WF,1284,32000.0,@$25,Market,"(835618, 818314)","(114.170566178, 22.303777033)"
3072, ,16/05/2019,Yuen Long,"No. 0027, Lai Sun Yuen Long Centre, Wang Yip Street East, Yuen Long, New Territories",G,12A,20240,303600.0,@$15,Market,"(821110, 834326)","(114.029615831, 22.448306883)"
3073, ,16/05/2019,Sai Wan Ho,"No. 0068, Marina House, Hing Man Street, Sai Wan Ho, Hong Kong",23,W/F,2267,40806.0,@$18,Market,"(841245, 815755)","(114.225167634, 22.28066059)"
3074, ,16/05/2019,Tsim Sha Tsui,"Unit  on 5/F, Enterprise Centre, No.0004 Hart Avenue, Tsim Sha Tsui, Kowloon",-,-,3906,180000.0,@$46,Market,"(836029.83001, 817631.07034)","(114.174563042, 22.297609863)"
3075, ,16/05/2019,Tseung Kwan O,"Shop 17 on G/F, , The Papillions, No.0021 Tong Chun Street, Tseung Kwan O, New Territories",-,-,2323,70000.0,@$30,Market,"(844874.84348, 819009.3002)","(114.260406521, 22.310034605)"
3076, ,16/05/2019,Wan Chai,"No. 0212, Loyong Court Commercial Building, Lockhart Road, Wan Chai, Hong Kong",12,B02,480,13800.0,@$29,Market,"(836221, 815478)","(114.1764183, 22.278166298)"
3077, ,16/05/2019,Central,"No. 0008, One Exchange Square, Connaught Place, Central, Hong Kong",43,PART OF 43/F,1732,363720.0,@$210,Market,"(834377, 816123)","(114.158524988, 22.283990028)"
3078, ,16/05/2019,Wan Chai,"No. 0391-0407, Times Tower, Jaffe Road, Wan Chai, Hong Kong",6,3,729,13487.0,@$19,Market,"(836606.3, 815707.4)","(114.180156962, 22.280237893)"
3079, ,16/05/2019,Tsim Sha Tsui Central,"No. 0029, Po Cheong Commercial Building, Prat Avenue, Tsim Sha Tsui Central, Kowloon",11,WF,938,24000.0,@$26,Market,"(836060.13235, 817746.208210001)","(114.174857095, 22.298649633)"
3080, ,12/08/2019,Tsim Sha Tsui Central,"No. 0002, Kam Lung Comm. Centre, Hart Avenue, Tsim Sha Tsui Central, Kowloon",10,WF,950,31000.0,@$33,Market,"(836029.83001, 817631.07034)","(114.174563042, 22.297609863)"
3081, ,12/08/2019,Tsim Sha Tsui Central,"No. 0005, MW Tower 2, Kimberley Street, Tsim Sha Tsui Central, Kowloon",7,WF,906,25368.0,@$28,Market,"(836065.40625, 817964.022910001)","(114.174908249, 22.300616635)"
3082, ,12/08/2019,Tsim Sha Tsui Central,"No. 0005, MW Tower 2, Kimberley Street, Tsim Sha Tsui Central, Kowloon",11,WF,906,25368.0,@$28,Market,"(836065.40625, 817964.022910001)","(114.174908249, 22.300616635)"
3083, ,12/08/2019,Jordan,"No. 0006, 8 Jordan Road, Jordan Road, Jordan, Kowloon",16,03&05,2009,58261.0,@$29,Market,"(835644.2, 818451.6)","(114.170820393, 22.305019655)"
3084, ,12/08/2019,Kowloon Bay,"No. 0038, Capital Tower Tower A, Wai Yip Street, Kowloon Bay, Kowloon",18,B,1770,50790.0,@$29,Market,"(839852, 819977)","(114.211660401, 22.318791307)"
3085, ,12/08/2019,Wan Chai,"No. 0288, Emperor Group Centre, Hennessy Road, Wan Chai, Hong Kong",21,6,1018,39702.0,@$39,Market,"(836265, 815418)","(114.176845238, 22.27762446)"
3086, ,12/08/2019,Tsim Sha Tsui East,"No. 0009, New East Ocean Centre, Science Museum Road, Tsim Sha Tsui East, Kowloon",5,6,1180,40000.0,@$34,Market,"(836511, 818084)","(114.179232608, 22.301700095)"
3087, ,12/08/2019,Central,"No. 0031, LHT Tower, Queen's Road Central, Central, Hong Kong",8,2,3560,178000.0,@$50,Land Registry,"(834183, 815918)","(114.15664277, 22.282138525)"
3088, ,12/08/2019,Kwun Tong,"No. 0051, Southtex Building, Tsun Yip Street, Kwun Tong, Kowloon",7,A,230,3450.0,@$15,Market,"(840877, 819096)","(114.221606436, 22.310832909)"
3089, ,10/08/2019,Fo Tan,"No. 0030-0032, Wah Yiu Industrial Centre, Au Pui Wan Street, Fo Tan, New Territories",2,02M,120,2200.0,@$18,Market,"(838005, 828852)","(114.193743227, 22.3989403)"
3090, ,10/08/2019,Tsuen Wan,"No. 59-71, Tsuen Wan Industrial Building, Wang Lung Street, Tsuen Wan, New Territories",7,(C),2233,17864.0,@$8,Market,"(830229, 825112)","(114.118240904, 22.365156418)"
3091, ,10/08/2019,Tsim Sha Tsui Central,"No. 0045, Houng Sun Building, Carnarvon Road, Tsim Sha Tsui Central, Kowloon",2,19,120,9000.0,@$75,Market,"(835941, 817820)","(114.173700956, 22.299316)"
3092, ,10/08/2019,Tsim Sha Tsui Central,"No. 0061-0065, The Capital, Unknown, Tsim Sha Tsui Central, Kowloon",1,F181,84,10000.0,@$119,Market,"(835645, 817614)","(114.17082848, 22.297455612)"
3093, ,10/08/2019,Tsim Sha Tsui West,"No. 0030, Silvercord Tower 2, Canton Road, Tsim Sha Tsui West, Kowloon",17,50,100,11000.0,@$110,Market,"(835484, 817647)","(114.169266047, 22.297753557)"
3094, ,10/08/2019,Yuen Long,"No. 0022, The Rainbow, Wang Yip Street South, Yuen Long, New Territories",3,9,331,12500.0,@$38,Market,"(821817.782, 834063.328)","(114.036494238, 22.445940968)"
3095, ,10/08/2019,Kwai Chung,"No. 16-20, Gold Way Industrial Centre A, Wing Kin Road, Kwai Chung, New Territories",13,4,583,9000.0,@$15,Market,"(830322, 824435)","(114.119146371, 22.359043065)"
3096, ,10/08/2019,Kwai Chung,"No. 0014-0020, Wah Wing Industrial Building, Wing Yip Street, Kwai Chung, New Territories",19,A02,430,4500.0,@$10,Market,"(831805, 824536)","(114.133544105, 22.35995964)"
3097, ,10/08/2019,North Point,"Shop 24 on G/F, , No.0395 King's Road, North Point, Hong Kong",-,-,1500,90000.0,@$60,Market,"(837991, 816557)","(114.193593986, 22.287909488)"
3098, ,10/08/2019,Kwai Chung,"No. 0014-0020, Wah Wing Industrial Building, Wing Yip Street, Kwai Chung, New Territories",19,A07,480,5000.0,@$10,Market,"(831805, 824536)","(114.133544105, 22.35995964)"
3099, ,10/08/2019,Wan Chai,"No. 0212, Loyong Court Commercial Building, Lockhart Road, Wan Chai, Hong Kong",13,A03,322,10800.0,@$34,Market,"(836221, 815478)","(114.1764183, 22.278166298)"
3100, ,19/03/2019,Kwun Tong,"No. 0015-0017, Sing Win Factory Building, Shing Yip Street, Kwun Tong, Kowloon",8,14,785,13500.0,@$17,Market,"(841414, 819047)","(114.226818064, 22.310388886)"
3101, ,19/03/2019,Cheung Sha Wan,"No. 61-63, Global Gateway Tower, Wing Hong Street, Cheung Sha Wan, Kowloon",8,4,1842,46050.0,@$25,Market,"(833315, 822237)","(114.148208596, 22.339201639)"
3102, ,19/03/2019,San Po Kong,"No. 0031, Perfect Industrial Building, Tai Yau Street, San Po Kong, Kowloon",18,01A(G),207,7000.0,@$34,Market,"(838433.1, 821942.1)","(114.197891326, 22.336539682)"
