 ,Instrument Date,District,Property,Floor,Unit,Area,Price,Price/sq.ft.,Source,
 ,16/03/2019,Cheung Sha Wan,"No. 10, Billion Plaza 2, Cheung Yue Street, Cheung Sha Wan, Kowloon",19,W/F,"Approx. 11,642 sq.ft.","For Rent $349,260",@$30,Market,Latest Stock
 ,15/03/2019,Yuen Long,"Shop G on G/F, , Golden Hall Building, No.0049-0063 Castle Peak Road, Yuen Long, New Territories",-,-,"Approx. 26,883 sq.ft.","For Rent $620,000",@$23,Market,Latest Stock
 ,15/03/2019,Wan Chai,"Shop A on G/F, , Lee Cheong Building, No.0218-0220B Wan Chai Road, Wan Chai, Hong Kong",-,-,"Approx. 1,030 sq.ft.","For Rent $120,000",@$117,Market,Latest Stock
 ,15/03/2019,Tsim Sha Tsui,"Shop      8 on G/F, , Multifield Plaza, No.0003-0007A Prat Avenue, Tsim Sha Tsui, Kowloon",-,-,Approx. 222 sq.ft.,"For Rent $17,000",@$77,Market,Latest Stock
 ,15/03/2019,Cheung Sha Wan,"No. 0650, China Shipbuilding Tower, Cheung Sha Wan Road, Cheung Sha Wan, Kowloon",20,6,Approx. 849 sq.ft.,"For Rent $25,470",@$30,Market,Latest Stock
 ,15/03/2019,Kwun Tong,"No. 0068, Kwun Tong Plaza, Hoi Yuen Road, Kwun Tong, Kowloon",1,149,Approx. 186 sq.ft.,"For Rent $20,000",@$108,Market,Latest Stock
 ,15/03/2019,Yau Tong,"No. 0002, Yau Tong Industrial Building Block 1, Shung Shun Street, Yau Tong, Kowloon",4,A,"Approx. 7,860 sq.ft.","For Rent $88,000",@$11,Market,Latest Stock
 ,15/03/2019,Tuen Mun,"No. 0002, Tuen Mun Parklane Square, Tuen Hi Road, Tuen Mun, New Territories",26,18,"Approx. 1,378 sq.ft.","For Rent $41,340",@$30,Market,Latest Stock
 ,15/03/2019,Kwun Tong,"No. 0111-0113, Futura Plaza, How Ming Street, Kwun Tong, Kowloon",22,6,"Approx. 1,435 sq.ft.","For Rent $30,135",@$21,Market,Latest Stock
 ,15/03/2019,Tsuen Wan,"Shop  on G/F, , No.0120 Chung On Street, Tsuen Wan, New Territories",-,-,"Approx. 1,200 sq.ft.","For Rent $138,000",@$115,Land Registry,Latest Stock
