 ,Instrument Date,District,Property,Floor,Unit,Area,Price,Price/sq.ft.,Source,
 ,30/05/2019,Tsim Sha Tsui Central,"No. 0025-0031, Bcc Building, Carnarvon Road, Tsim Sha Tsui Central, Kowloon",13,WF,"Approx. 5,047 sq.ft.","For Rent $200,000",@$40,Market,Latest Stock
 ,30/05/2019,Central,"No. 0008, 8 Queen's Road Central, Queen's Road Central, Central, Hong Kong",18,WF,"Approx. 3,012 sq.ft.","For Rent $376,500",@$125,Market,Latest Stock
 ,30/05/2019,Kwun Tong,"No. 0036, Ricky Centre, Chong Yip Street, Kwun Tong, Kowloon",13,5,Approx. 396 sq.ft.,"For Rent $9,400",@$24,Market,Latest Stock
 ,30/05/2019,Kwun Tong,"No. 0001, 1 Hung To Road, Hung To Road, Kwun Tong, Kowloon",6,1,Approx. 936 sq.ft.,"For Rent $19,000",@$20,Market,Latest Stock
 ,30/05/2019,Fanling,"No. 0030, Sun Ling Plaza, On Kui Street, Fanling, New Territories",2,4,"Approx. 1,080 sq.ft.","For Rent $15,120",@$14,Market,Latest Stock
 ,30/05/2019,Shek Mun,"No. 0002, Metropole Square, On Yiu Street, Shek Mun, New Territories",22,W/F,"Approx. 19,965 sq.ft.","For Rent $417,000",@$21,Land Registry,Latest Stock
 ,30/05/2019,Causeway Bay,"No. 0255-0257, Sino Plaza, Gloucester Road, Causeway Bay, Hong Kong",20,03B,Approx. 855 sq.ft.,"For Rent $47,880",@$56,Market,Latest Stock
 ,30/05/2019,Central,"No. 0038, Ho Lee Commercial Building, D'Aguilar Street, Central, Hong Kong",10,C,Approx. 525 sq.ft.,"For Rent $20,000",@$38,Market,Latest Stock
 ,30/05/2019,Cheung Sha Wan,"No. 0838, Laford Centre, Lai Chi Kok Road, Cheung Sha Wan, Kowloon",9,01-03,"Approx. 3,541 sq.ft.","For Rent $77,902",@$22,Market,Latest Stock
 ,30/05/2019,Tsuen Wan,"No. 0264-0298, Nan Fung Centre, Castle Peak Road Tsuen Wan, Tsuen Wan, New Territories",11,04-06,"Approx. 2,332 sq.ft.","For Rent $60,632",@$26,Market,Latest Stock
 ,30/05/2019,Yau Tong,"No. 0007, Ko Fai Industrial Building, Ko Fai Road, Yau Tong, Kowloon",11,B04,"Approx. 9,500 sq.ft.","For Rent $114,000",@$12,Market,Latest Stock
 ,30/05/2019,Aberdeen,"No. 0234, Fullagar Industrial Building, Aberdeen Main Road, Aberdeen, Hong Kong",20,11,"Approx. 1,043 sq.ft.","For Rent $13,000",@$12,Market,Latest Stock
 ,30/05/2019,Tsuen Wan,"No. 11, One Midtown, Hoi Shing Road, Tsuen Wan, New Territories",11,7,Approx. 978 sq.ft.,"For Rent $21,516",@$22,Market,Latest Stock
 ,30/05/2019,Wan Chai,"Shop 2 on G/F, , No.0020-0024 Lockhart Road, Wan Chai, Hong Kong",-,-,"Approx. 5,347 sq.ft.","For Rent $469,000",@$88,Market,Latest Stock
 ,30/05/2019,North Point,"No. 0510, Island Place Tower, King's Road, North Point, Hong Kong",6,06B,"Approx. 1,850 sq.ft.","For Rent $62,900",@$34,Market,Latest Stock
 ,30/05/2019,Yuen Long,"No. 0022, The Rainbow, Wang Yip Street South, Yuen Long, New Territories",6,15,Approx. 391 sq.ft.,"For Rent $12,000",@$31,Market,Latest Stock
 ,30/05/2019,Central,"No. 0001, Tak Woo House, Wo On Lane, Central, Hong Kong",1,1,"Approx. 1,300 sq.ft.","For Rent $98,800",@$76,Market,Latest Stock
 ,30/05/2019,Kwun Tong,"No. 0019-0021, Shing Yip Industrial Building, Shing Yip Street, Kwun Tong, Kowloon",2,4,Approx. 974 sq.ft.,"For Rent $18,000",@$18,Market,Latest Stock
 ,30/05/2019,Tsuen Wan,"No. 48-56, Wang Lung Industrial Building, Wang Lung Street, Tsuen Wan, New Territories",19,5,"Approx. 2,206 sq.ft.","For Rent $28,000",@$13,Market,Latest Stock
 ,30/05/2019,Fo Tan,"No. 0031-0041, Wah Lok Industrial Centre Block F, Shan Mei Street, Fo Tan, New Territories",22,26,"Approx. 1,145 sq.ft.","For Rent $14,500",@$13,Market,Latest Stock
 ,15/01/2019,Kowloon Bay,"No. 0020, International Plaza, Sheung Yuet Road, Kowloon Bay, Kowloon",7,02-03,"Approx. 2,116 sq.ft.","For Rent $31,740",@$15,Market,Latest Stock
 ,15/01/2019,San Po Kong,"No. 0012/0014, Wing Sum 2nd Industrial Building, Sam Chuk Street, San Po Kong, Kowloon",7,W/F,"Approx. 6,478 sq.ft.","For Rent $72,000",@$11,Market,Latest Stock
 ,15/01/2019,Hung Hom,"No. 0039, Hunghom Commercial Centre Tower A, Ma Tau Wai Road, Hung Hom, Kowloon",9,07B,"Approx. 1,309 sq.ft.","For Rent $28,000",@$21,Market,Latest Stock
