, ,instrument date,district,property,floor,unit,area_sq.ft.,price,price/sq.ft.,source,e_n
33, ,12/03/2019,Sheung Wan,"No. 0212, Des Voeux Commercial Centre, Des Voeux Road Central, Sheung Wan, Hong Kong",15,WF,777,24864.0,@$32,Market,"(833811, 816361)"
34, ,12/03/2019,Causeway Bay,"No. 0500, Way On Commercial Building, Jaffe Road, Causeway Bay, Hong Kong",13,A,825,26400.0,@$32,Market,"(836933, 815793)"
35, ,12/03/2019,Kwun Tong,"No. 0115, Po Shau Centre, How Ming Street, Kwun Tong, Kowloon",9,A-B,2822,67728.0,@$24,Market,"(841190, 819182)"
36, ,12/03/2019,Kwun Tong,"No. 0165, SML Tower, Hoi Bun Road, Kwun Tong, Kowloon",12,W/F,8600,159100.0,@$19,Land Registry,"(840652, 819095)"
37, ,12/03/2019,Tai Wai,"Shop 28B on G/F, , Grandway Garden, No.0015-0035 Tsuen Nam Road, Tai Wai, New Territories",-,-,270,150000.0,@$556,Market,"(836361, 826046)"
38, ,12/03/2019,Wan Chai,"Shop G08 on G/F, , No.0015 Canal Road West, Wan Chai, Hong Kong",-,-,850,125000.0,@$147,Market,"(836690.27778, 815322.86545)"
39, ,12/03/2019,Mong Kok,"No. 0998, Officeplus @mong Kok, Canton Road, Mong Kok, Kowloon",14,C,560,22960.0,@$41,Market,"(835380, 820005)"
40, ,27/12/2018,Kwun Tong,"No. 0011, Wah Shing Centre (KT), Shing Yip Street, Kwun Tong, Kowloon",13,13(D),306,9300.0,@$30,Market,"(841386, 819079)"
41, ,27/12/2018,Jordan,"Shop E1 on G/F, , Kam Chung Building (JD), No.0130-0142 Woosung Street, Jordan, Kowloon",-,-,900,50000.0,@$56,Market,"(835580, 818404)"
42, ,27/12/2018,Tsim Sha Tsui,"Shop 076 on G/F, , Chungking Mansions, No.0036-0044 Nathan Road, Tsim Sha Tsui, Kowloon",-,-,300,28000.0,@$93,Market,"(835817, 817504)"
43, ,27/12/2018,Central,"No. 0134, BOC Group Life Assurance Tower, Des Voeux Road Central, Central, Hong Kong",12,WF,3235,436725.0,@$135,Market,"(833974, 816270)"
44, ,27/12/2018,Tsim Sha Tsui Central,"No. 0005, Podium Plaza, Hanoi Road, Tsim Sha Tsui Central, Kowloon",17,2,581,22078.0,@$38,Market,"(836008, 817635)"
45, ,27/12/2018,Quarry Bay,"No. 0001, Chinachem Exchange Square, Hoi Wan Street, Quarry Bay, Hong Kong",4,3,1397,37719.0,@$27,Land Registry,"(839868, 816573)"
46, ,27/12/2018,Kwun Tong,"No. 0181, Yin Da Commercial Building, Wai Yip Street, Kwun Tong, Kowloon",13,A02,2240,31300.0,@$14,Market,"(839817.03869, 820690.71317)"
47, ,27/12/2018,Kwun Tong,"No. 0436-0446, Kwun Tong Industrial Centre Block 4, Kwun Tong Road, Kwun Tong, Kowloon",1,P(101),180,3600.0,@$20,Market,"(841478, 819101)"
